Word,Pinyin,Frequency,Ranking
大,Dà,23,1
中,zhōng,23,1
山,shān,21,2
南,nán,16,3
新,xīn,15,4
和,hé,12,5
安,ān,11,6
園,yuán,11,6
三,sān,11,6
東,dōng,11,6
北,běi,11,6
林,lín,11,6
院,yuàn,9,7
裏,lǐ,9,7
溪,xī,9,7
橋,qiáo,8,8
台,tái,8,8
寮,liáo,8,8
永,yǒng,7,9
子,zi,7,9
小,xiǎo,7,9
城,chéng,7,9
平,píng,7,9
國,guó,7,9
醫,yī,7,9
興,xìng,6,10
公,gōng,6,10
高,gāo,6,10
竹,zhú,6,10
埔,bù,6,10
學,xué,6,10
華,huá,5,11
湖,hú,5,11
光,guāng,5,11
洲,zhōu,5,11
水,shuǐ,5,11
瑞,ruì,5,11
富,fù,5,11
福,fú,5,11
民,mín,5,11
門,mén,5,11
潭,tán,5,11
澳,ào,5,11
莊,zhuāng,5,11
德,dé,5,11
館,guǎn,4,12
宮,gōng,4,12
景,jǐng,4,12
古,gǔ,4,12
口,kǒu,4,12
港,gǎng,4,12
商,shāng,4,12
西,xī,4,12
忠,zhōng,4,12
張,zhāng,4,12
頭,tóu,4,12
美,měi,4,12
復,fù,4,12
物,wù,4,12
龍,lóng,4,12
區,qū,4,12
枋,fāng,4,12
萬,wàn,4,12
內,nèi,4,12
科,kē,3,
花,huā,3,
海,hǎi,3,
紀,jì,3,
義,yì,3,
京,jīng,3,
源,yuán,3,
後,hòu,3,
孝,xiào,3,
四,sì,3,
市,shì,3,
重,zhòng,3,
松,sōng,3,
場,chǎng,3,
生,shēng,3,
頂,dǐng,3,
亭,tíng,3,
店,diàn,3,
念,niàn,3,
馬,mǎ,3,
分,fēn,3,
碧,bì,3,
芳,fāng,3,
鳳,fèng,3,
明,míng,3,
路,lù,3,
六,liù,3,
雙,shuāng,3,
圈,quān,3,
榮,róng,3,
樂,lè,3,
加,jiā,2,
家,jiā,2,
角,jiǎo,2,
機,jī,2,
九,jiǔ,2,
五,wǔ,2,
江,jiāng,2,
寺,sì,2,
社,shè,2,
車,chē,2,
樹,shù,2,
州,zhōu,2,
集,jí,2,
十,shí,2,
春,chūn,2,
所,suǒ,2,
上,shàng,2,
勢,shì,2,
政,zhèng,2,
石,shí,2,
泉,quán,2,
蘇,sū,2,
丹,dān,2,
暖,nuǎn,2,
天,tiān,2,
展,zhǎn,2,
田,tián,2,
土,tǔ,2,
冬,dōng,2,
塔,tǎ,2,
桃,táo,2,
堂,táng,2,
二,èr,2,
博,bó,2,
板,bǎn,2,
府,fǔ,2,
武,wǔ,2,
本,běn,2,
野,yě,2,
陽,yáng,2,
蘭,lán,2,
隆,lóng,2,
麟,lín,2,
嶺,lǐng,2,
蓮,lián,2,
劍,jiàn,2,
樓,lóu,2,
灣,wān,2,
犁,lí,2,
臺,tái,2,
舊,jiù,2,
蘆,lú,2,
覽,lǎn,2,
豐,fēng,2,
迴,huí,2,
關,guān,2,
埕,chéng,2,
埤,pí,2,
腳,jiǎo,2,
亥,hài,1,
員,yuán,1,
央,yāng,1,
牡,mǔ,1,
下,xià,1,
化,huà,1,
佳,jiā,1,
塊,kuài,1,
外,wài,1,
街,jiē,1,
漢,hàn,1,
監,jiān,1,
岸,àn,1,
岩,yán,1,
奇,qí,1,
貴,guì,1,
宜,yí,1,
技,jì,1,
吉,jí,1,
巨,jù,1,
教,jiào,1,
業,yè,1,
曲,qū,1,
玉,yù,1,
桐,tóng,1,
金,jīn,1,
空,kōng,1,
敬,jìng,1,
結,jié,1,
月,yuè,1,
原,yuán,1,
故,gù,1,
侯,hóu,1,
工,gōng,1,
幸,xìng,1,
康,kāng,1,
更,gèng,1,
溝,gōu,1,
紅,hóng,1,
考,kǎo,1,
行,xíng,1,
貢,gòng,1,
香,xiāng,1,
合,hé,1,
昆,kūn,1,
菜,cài,1,
柵,shān,1,
士,shì,1,
志,zhì,1,
獅,shī,1,
試,shì,1,
慈,cí,1,
鹿,lù,1,
七,qī,1,
芝,zhī,1,
宗,zōng,1,
秀,xiù,1,
徐,xú,1,
勝,shèng,1,
庄,zhuāng,1,
礁,jiāo,1,
祥,xiáng,1,
象,xiàng,1,
植,zhí,1,
職,zhí,1,
信,xìn,1,
心,xīn,1,
森,sēn,1,
辛,xīn,1,
仁,rén,1,
翠,cuì,1,
崇,chóng,1,
世,shì,1,
晴,qíng,1,
正,zhèng,1,
清,qīng,1,
先,xiān,1,
線,xiàn,1,
前,qián,1,
善,shàn,1,
族,zú,1,
多,duō,1,
太,tài,1,
泰,tài,1,
瀧,lóng,1,
宅,zhái,1,
濁,zhuó,1,
淡,dàn,1,
端,duān,1,
蛋,dàn,1,
知,zhī,1,
池,chí,1,
潮,cháo,1,
長,zhǎng,1,
直,zhí,1,
鎮,zhèn,1,
通,tōng,1,
坪,píng,1,
底,dǐ,1,
廷,tíng,1,
電,diàn,1,
堵,dǔ,1,
渡,dù,1,
塘,táng,1,
投,tóu,1,
動,dòng,1,
導,dǎo,1,
敦,dūn,1,
軟,ruǎn,1,
寧,níng,1,
牌,pái,1,
八,bā,1,
備,bèi,1,
尾,wěi,1,
廟,miào,1,
父,fù,1,
粉,fěn,1,
文,wén,1,
輔,fǔ,1,
菩,pú,1,
奉,fèng,1,
褒,bāo,1,
望,wàng,1,
貿,mào,1,
麻,má,1,
哩,lī,1,
木,mù,1,
悠,yōu,1,
雄,xióng,1,
洋,yáng,1,
羅,luó,1,
洛,luò,1,
李,lǐ,1,
理,lǐ,1,
里,lǐ,1,
立,lì,1,
良,liáng,1,
麗,lì,1,
連,lián,1,
朗,lǎng,1,
亞,yà,1,
來,lái,1,
偕,xié,1,
匯,huì,1,
圍,wéi,1,
圓,yuán,1,
嗇,sè,1,
壽,shòu,1,
實,shí,1,
寶,bǎo,1,
屏,píng,1,
崗,gǎng,1,
崙,lún,1,
廈,shà,1,
廣,guǎng,1,
彭,péng,1,
權,quán,1,
歸,guī,1,
祿,lù,1,
稻,dào,1,
穗,suì,1,
站,zhàn,1,
總,zǒng,1,
菁,jīng,1,
葫,hú,1,
蚋,ruì,1,
讚,zàn,1,
貂,diāo,1,
踐,jiàn,1,
邊,biān,1,
體,tǐ,1,
龜,guī,1,
厝,cuò,1,
唭,qì,1,
墘,qián,1,
崁,kàn,1,
橫,héng,1,
產,chǎn,1,
硐,dòng,1,
舺,xiá,1,
艋,měng,1,
莒,jǔ,1,
